Galaxy,Upsilon_disk,Upsilon_bulge,r_s,rho_s
ESO563-G021_rotmod,0.5,0.7,9.112798714382567,76306062.18471141
IC4202_rotmod,0.5,0.7,7.687918425555787,50620612.28857529
NGC0801_rotmod,0.5,0.7,6.808196340335844,48634253.30773156
NGC0891_rotmod,0.5,0.7,18.984518568002315,10976143.916871112
NGC1090_rotmod,0.5,0.7,6.142488402731455,39001460.1681647
NGC2403_rotmod,0.5,0.7,4.220499489545396,67512194.77255802
NGC2841_rotmod,0.5,0.7,6.068946264941013,170903100.75070864
NGC2903_rotmod,0.5,0.7,7.342908428604896,38417325.61629923
NGC2998_rotmod,0.5,0.7,8.440659469411179,35229653.48248818
NGC3198_rotmod,0.5,0.7,6.493629424671233,36844183.99380074
NGC3521_rotmod,0.5,0.7,5.665877776315555,71851987.3926018
NGC3893_rotmod,0.5,0.7,5.128206371778609,69423900.66262633
NGC3917_rotmod,0.5,0.7,4.786049189653191,50000980.50800588
NGC3953_rotmod,0.5,0.7,3.404673390014007,152791288.25261536
NGC3992_rotmod,0.5,0.7,6.802948046081531,83977953.82738183
NGC4088_rotmod,0.5,0.7,2516.124483093325,1806865.4503071327
NGC4100_rotmod,0.5,0.7,3.7308868596217803,128919999.51259954
NGC4157_rotmod,0.5,0.7,16.194846659159385,8651819.511776729
NGC4183_rotmod,0.5,0.7,3.440729379047815,64793422.17952317
NGC4217_rotmod,0.5,0.7,909.1019340823111,3742322.8562224116
NGC4559_rotmod,0.5,0.7,6.96673239313978,18030411.473920967
NGC5005_rotmod,0.5,0.7,18.01219397211876,22920703.984549254
NGC5033_rotmod,0.5,0.7,7.501022467646662,48241438.43110502
NGC5055_rotmod,0.5,0.7,14.912420283354487,8822241.280125668
NGC5371_rotmod,0.5,0.7,3.957084217343008,110871518.67439067
NGC5907_rotmod,0.5,0.7,6.04709037675834,80546840.67879719
NGC5985_rotmod,0.5,0.7,4.231565872917319,314352316.39854443
NGC6195_rotmod,0.5,0.7,27.92256948533348,4497353.416155327
NGC6503_rotmod,0.5,0.7,4.398387533680999,49153962.183348164
NGC6674_rotmod,0.5,0.7,7.656247160799993,75477135.31944382
NGC6946_rotmod,0.5,0.7,6.532912644279767,31072002.15205765
NGC7331_rotmod,0.5,0.7,26.12473188726466,6379316.785672548
NGC7814_rotmod,0.5,0.7,6.252747947685781,72401471.48019962
UGC00128_rotmod,0.5,0.7,8.163013147470735,19174024.996383294
UGC02487_rotmod,0.5,0.7,9.153725066604508,102251419.80262864
UGC03205_rotmod,0.5,0.7,4.090193641155093,167878936.27473897
UGC03546_rotmod,0.5,0.7,9.805864573322738,22784316.28072702
UGC04325_rotmod,0.5,0.7,1.359717647276522,309875273.65809983
UGC05721_rotmod,0.5,0.7,1.0199987398179942,478548010.609403
UGC06446_rotmod,0.5,0.7,1.9162017997616634,126717755.00395326
UGC06614_rotmod,0.5,0.7,27.75474254754443,4278598.958773055
UGC06786_rotmod,0.5,0.7,5.692629139689924,107338330.88574043
UGC06983_rotmod,0.5,0.7,3.1765348571939036,79804894.3727929
UGC08490_rotmod,0.5,0.7,1.4014720705263717,245295711.32463452
UGC09133_rotmod,0.5,0.7,11.12873658368412,31398618.394805823
UGC11455_rotmod,0.5,0.7,13.744454514401333,19844701.94094909
UGC11914_rotmod,0.5,0.7,1.2233309296055914,1906475949.331127
