Cluster,M_tot_1,Perc_DM_1,Perc_DM_2
Abell0080,40290380404651.8047,68.6272,76.1193
Abell0118,699784507167857.8750,86.0120,87.7285
Abell0380,7357894305325303808.0000,97.6336,97.6883
Abell0487,2744310090806557696.0000,97.1395,97.2191
Abell2734,1437703186278616.0000,87.5024,88.8908
Abell2778,259858580867038048.0000,95.7217,95.8972
Abell2799,70357245408757.7109,76.9720,81.2823
Abell2800,62978026011062.9766,72.4988,78.4306
Abell2819,22351924889278.9531,68.6877,76.1543
Abell2854,67736441178229.0078,73.9675,79.3446
Abell2871,50579403725719568.0000,93.7683,94.1338
Abell2911,2265226141847232512.0000,97.0100,97.0968
Abell3864,595112955776642176.0000,96.1301,96.2743
Abell3921,597219058688288.8750,85.1313,87.0559
Abell4067,4291571235671124992.0000,97.3685,97.4360
Abell1656(Coma),3367029203052607.0000,90.8415,91.6099
